ID_Partido,Ronda,Duracion,A̱o,ID_Torneo,ID_Juez,ID_Jug_Ganador1,ID_Jug_Ganador2,ID_Jug_Perdedor1,ID_Jug_Perdedor2,Resultado
269,F,72,2020,6,,103523,105323,106382,104136,3-6 6-2 (10-6)
268,SF,64,2020,6,,106382,104136,104233,105047,2-6 6-2 (10-4)
267,SF,70,2020,6,,103523,105323,105573,105015,7-5 6-2
266,QF,73,2020,6,,104233,105047,106207,103946,4-6 6-2 (10-7)
265,QF,84,2020,6,,106382,104136,104871,104802,6-3 7-6(7)
264,QF,48,2020,6,,103523,105323,126207,104527,6-3 6-4
263,QF,103,2020,6,,105573,105015,104159,105439,6-7(2) 6-4 (13-11)
262,R32,32,2020,6,,106207,103946,106078,105062,6-2 6-4
261,R32,110,2020,6,,104233,105047,105269,104235,7-6(10) 6-7(5) (10-7)
260,R32,75,2020,6,,104871,104802,104690,104677,7-6(4) 6-2
259,R32,96,2020,6,,106382,104136,105575,105683,5-7 7-6(5) (10-5)
258,R32,64,2020,6,,126207,104527,122330,126094,6-3 7-6(6)
257,R32,56,2020,6,,103523,105323,106065,132283,6-3 6-2
256,R32,96,2020,6,,104159,105439,105379,111513,6-7(2) 6-4 (10-5)
269,F,105,2020,7,,104216,104802,104471,104583,7-6(12) 6-3
268,SF,109,2020,7,,104471,104583,104679,105439,5-7 6-3 (15-13)
267,SF,66,2020,7,,104216,104802,104330,110749,6-3 6-4
266,QF,79,2020,7,,104679,105439,103781,104273,6-3 1-6 (13-11)
265,QF,65,2020,7,,104471,104583,106426,106228,6-4 6-3
264,QF,67,2020,7,,104330,110749,105323,105254,6-4 6-3
263,QF,89,2020,7,,104216,104802,103997,104249,6-4 7-5
262,R32,56,2020,7,,103781,104273,144750,105441,6-3 6-3
261,R32,87,2020,7,,104679,105439,105269,104235,6-3 4-6 (10-4)
260,R32,75,2020,7,,104471,104583,104589,102963,6-3 7-6(1)
259,R32,66,2020,7,,106426,106228,103720,111442,6-3 2-6 (10-7)
258,R32,55,2020,7,,104330,110749,105433,103938,6-2 6-3
257,R32,88,2020,7,,105323,105254,105906,105617,7-6(3) 6-2
256,R32,61,2020,7,,104216,104802,106109,200615,6-4 6-3
255,R32,73,2020,7,,103997,104249,104071,103594,6-2 6-4
269,F,82,2020,8,,106382,110758,105428,104667,7-6(3) 6-3
268,SF,110,2020,8,,106382,110758,105695,126115,7-6(5) 7-6(4)
267,SF,83,2020,8,,105428,104667,105572,105015,6-2 7-6(5)
266,QF,110,2020,8,,105695,126115,104690,104677,5-7 7-6(3) (11-9)
265,QF,59,2020,8,,106382,110758,103523,105573,6-3 6-4
264,QF,53,2020,8,,105572,105015,104693,103529,6-2 6-2
263,QF,68,2020,8,,105428,104667,104233,105047,4-6 6-1 (10-7)
262,R32,94,2020,8,,104690,104677,105188,105030,7-6(4) 7-6(3)
261,R32,0,2020,8,,105695,126115,104919,105311,W/O
260,R32,54,2020,8,,103523,105573,111815,144650,6-4 6-2
259,R32,68,2020,8,,106382,110758,111456,208055,6-3 7-5
258,R32,58,2020,8,,104693,103529,106198,106329,6-3 6-4
257,R32,99,2020,8,,105572,105015,104136,104159,7-5 7-6(6)
256,R32,38,2020,8,,105428,104667,104620,104926,6-3 1-1 RET
255,R32,87,2020,8,,104233,105047,106207,103946,6-7(5) 6-3 (10-7)
269,F,87,2020,9,,105269,104235,104919,105120,6-3 7-6(4)
268,SF,87,2020,9,,104919,105120,104216,104802,6-4 3-6 (10-8)
267,SF,69,2020,9,,105269,104235,105431,105271,6-4 6-3
266,QF,0,2020,9,,104216,104802,106065,105077,W/O
265,QF,0,2020,9,,104919,105120,105487,105550,W/O
264,QF,68,2020,9,,105269,104235,105943,124079,7-6(5) 6-2
263,QF,81,2020,9,,105431,105271,106329,105262,4-6 6-3 (13-11)
262,R32,57,2020,9,,104216,104802,104665,104547,6-3 6-2
261,R32,66,2020,9,,106065,105077,104600,200225,6-4 3-6 (10-6)
260,R32,69,2020,9,,104919,105120,105160,106228,6-3 1-6 (10-5)
259,R32,75,2020,9,,105487,105550,104655,106198,6-4 7-5
258,R32,69,2020,9,,105943,124079,105948,106426,7-6(5) 6-1
257,R32,41,2020,9,,105269,104235,106398,126663,6-1 6-1
256,R32,0,2020,9,,106329,105262,105561,126149,W/O
255,R32,74,2020,9,,105431,105271,105695,126115,3-6 6-3 (11-9)
269,F,89,2020,10,,105677,106207,104693,103529,6-4 6-7(4) (10-4)
268,SF,98,2020,10,,105677,106207,105493,105302,7-6(3) 7-5
267,SF,104,2020,10,,104693,103529,104679,105439,4-6 7-6(5) (10-5)
266,QF,70,2020,10,,105677,106207,105906,103917,6-4 7-5
265,QF,78,2020,10,,105493,105302,103781,104273,6-4 2-6 (10-7)
264,QF,64,2020,10,,104679,105439,106049,106022,3-6 6-2 (10-2)
263,QF,106,2020,10,,104693,103529,103828,104486,7-6(4) 6-7(4) (11-9)
262,R32,84,2020,10,,105906,103917,105173,105714,7-6(4) 4-6 (10-4)
261,R32,66,2020,10,,105677,106207,104932,200384,6-4 6-4
260,R32,49,2020,10,,103781,104273,103852,104043,6-2 6-2
259,R32,68,2020,10,,105493,105302,104620,105433,6-4 6-4
258,R32,98,2020,10,,106049,106022,105807,105311,7-6(7) 7-6(8)
257,R32,39,2020,10,,104679,105439,102382,110602,6-1 6-0
256,R32,97,2020,10,,104693,103529,122330,106000,6-7(5) 6-4 (12-10)
255,R32,78,2020,10,,103828,104486,200000,133430,6-4 6-4
269,F,71,2020,11,,122585,105464,102968,105781,6-2 3-6 (10-8)
268,SF,73,2020,11,,122585,105464,106033,104398,6-4 7-6(1)
267,SF,84,2020,11,,102968,105781,104646,106368,7-6(3) 6-4
266,QF,59,2020,11,,106033,104398,104898,102963,6-3 6-3
265,QF,51,2020,11,,122585,105464,126156,105332,6-3 6-3
264,QF,78,2020,11,,102968,105781,103893,105882,5-7 6-1 (10-8)
263,QF,56,2020,11,,104646,106368,105051,102233,6-2 6-1
262,R32,96,2020,11,,104898,102963,122644,105801,6-7(5) 6-3 (10-8)
261,R32,85,2020,11,,106033,104398,103977,138550,7-6(5) 4-6 (10-8)
260,R32,65,2020,11,,122585,105464,105850,104920,3-6 6-4 (10-8)
259,R32,80,2020,11,,126156,105332,103523,111459,3-6 7-5 (10-7)
258,R32,71,2020,11,,103893,105882,105575,105539,6-3 6-4
257,R32,71,2020,11,,102968,105781,105902,105591,4-6 6-3 (10-8)
256,R32,91,2020,11,,104646,106368,106078,111576,7-6(6) 6-3
255,R32,84,2020,11,,105051,102233,104690,104677,6-2 7-6(5)
269,F,106,2020,12,,104719,104547,105160,106228,6-4 5-7 (18-16)
268,SF,74,2020,12,,104719,104547,105269,104235,6-2 7-5
267,SF,87,2020,12,,105160,106228,105695,126115,7-6(4) 6-4
266,QF,58,2020,12,,104719,104547,106329,105262,6-3 6-2
265,QF,63,2020,12,,105269,104235,144719,134770,6-3 6-4
264,QF,0,2020,12,,105695,126115,104655,106198,W/O
263,QF,,2020,12,,105160,106228,104665,124079,W/O
262,R32,94,2020,12,,104719,104547,105431,105271,7-6(3) 7-5
261,R32,74,2020,12,,106329,105262,207680,126535,6-3 3-6 (10-5)
260,R32,55,2020,12,,105269,104235,106065,105077,6-4 6-4
259,R32,70,2020,12,,144719,134770,105487,105643,7-5 6-3
258,R32,75,2020,12,,104655,106198,104919,105120,6-4 6-4
257,R32,69,2020,12,,105695,126115,105911,105948,4-6 6-1 (10-2)
256,R32,91,2020,12,,105160,106228,106099,132283,7-5 6-4
255,R32,58,2020,12,,104665,124079,104216,104802,6-3 6-1
269,F,93,2020,13,,104693,103529,105449,124187,7-6(5) 7-6(6)
268,SF,65,2020,13,,105449,124187,105656,110779,7-6(3) 6-4
267,SF,91,2020,13,,104693,103529,103977,106058,4-6 7-6(3) (10-3)
266,QF,60,2020,13,,105449,124187,104690,104677,6-3 6-4
265,QF,99,2020,13,,105656,110779,102963,105815,6-4 6-7(6) (10-6)
264,QF,64,2020,13,,103977,106058,105677,105714,6-3 6-4
263,QF,67,2020,13,,104693,103529,105433,104233,4-6 6-1 (10-5)
262,R32,79,2020,13,,104690,104677,105572,105015,7-6(3) 6-3
261,R32,65,2020,13,,105449,124187,200005,138550,6-4 2-6 (10-8)
260,R32,80,2020,13,,105656,110779,105428,104667,6-3 4-6 (10-8)
258,R32,89,2020,13,,105677,105714,200175,105302,5-7 7-5 (10-6)
257,R32,85,2020,13,,103977,106058,106382,110758,7-6(4) 7-5
256,R32,74,2020,13,,104693,103529,104545,126205,6-4 7-6(3)
255,R32,61,2020,13,,105433,104233,104136,104159,6-4 6-4
269,F,94,2020,16,,105732,103917,105573,105526,7-6(5) 4-6 (10-7)
268,SF,73,2020,16,,105573,105526,103523,133430,5-7 6-2 (10-8)
267,SF,118,2020,16,,105732,103917,104071,103594,6-7(6) 7-6(6) (10-7)
266,QF,82,2020,16,,105573,105526,104679,105439,5-7 6-1 (10-6)
265,QF,73,2020,16,,103523,133430,103828,104486,6-2 3-6 (10-7)
264,QF,103,2020,16,,104071,103594,200000,128034,6-4 6-7(5) (10-8)
263,QF,,2020,16,,105732,103917,104926,104898,W/O
262,R32,56,2020,16,,105573,105526,105906,105617,6-2 6-2
261,R32,113,2020,16,,104679,105439,103781,104273,7-6(4) 5-7 (10-7)
260,R32,48,2020,16,,103828,104486,126774,102800,6-2 6-2
259,R32,102,2020,16,,103523,133430,105188,105030,7-6(0) 6-7(5) (10-8)
258,R32,67,2020,16,,104071,103594,122644,105801,6-3 7-5
257,R32,90,2020,16,,200000,128034,105323,105254,6-3 7-6(9)
256,R32,108,2020,16,,104926,104898,111575,126094,7-6(1) 7-6(11)
255,R32,50,2020,16,,105732,103917,105332,106207,6-3 6-4
242,QF,,2020,16,,105573,105526,134868,122298,6-3 7-5
241,R32,,2020,16,,105573,105526,200325,206173,6-4 3-6 (10-6)
240,R32,,2020,16,,134868,122298,122330,104660,6-3 6-7(5) (10-5)
269,F,82,2020,14,,103184,103185,106382,110758,3-6 7-5 (10-5)
268,SF,100,2020,14,,103184,103185,105656,110779,6-7(5) 6-4 (10-4)
267,SF,84,2020,14,,106382,110758,105677,105714,7-6(1) 7-5
266,QF,69,2020,14,,103184,103185,104690,104677,6-2 4-6 (10-3)
265,QF,68,2020,14,,105656,110779,106328,106261,6-4 6-4
264,QF,79,2020,14,,106382,110758,103977,138550,6-2 7-6(3)
263,QF,66,2020,14,,105677,105714,126203,126205,7-6(4) 6-4
262,R32,0,2020,14,,103184,103185,106401,111442,W/O
261,R32,102,2020,14,,104690,104677,122585,200005,5-7 6-4 (10-7)
260,R32,67,2020,14,,105656,110779,105428,104667,6-4 6-2
259,R32,70,2020,14,,106328,106261,104693,102963,6-4 6-4
258,R32,79,2020,14,,103977,138550,105173,111456,7-6(3) 6-3
257,R32,0,2020,14,,106382,110758,105357,105591,W/O
256,R32,86,2020,14,,126203,126205,200175,105302,7-6(5) 7-5
255,R32,89,2020,14,,105677,105714,104136,104159,6-4 2-6 (10-4)
269,F,72,2020,17,,103917,105577,105323,105254,6-3 6-4
268,SF,56,2020,17,,103917,105577,105906,105617,6-3 6-2
267,SF,63,2020,17,,105323,105254,104233,105047,6-4 6-2
266,QF,67,2020,17,,105906,105617,105332,110754,6-2 7-6(5)
265,QF,59,2020,17,,103917,105577,103781,104273,6-3 6-4
264,QF,96,2020,17,,104233,105047,103523,133430,7-5 6-7(3) (10-8)
263,QF,73,2020,17,,105323,105254,102968,105781,6-3 7-5
262,R32,88,2020,17,,105906,105617,202065,126774,6-4 6-7(5) (10-6)
261,R32,63,2020,17,,105332,110754,122330,200615,4-6 6-2 (10-5)
260,R32,80,2020,17,,103781,104273,128034,104468,7-6(5) 6-4
259,R32,65,2020,17,,103917,105577,209070,208004,7-5 6-1
258,R32,92,2020,17,,103523,133430,104620,206173,6-7(6) 6-3 (10-6)
257,R32,76,2020,17,,104233,105047,104679,105439,3-6 6-3 (10-8)
256,R32,82,2020,17,,102968,105781,105850,104920,7-6(3) 6-3
255,R32,82,2020,17,,105323,105254,105493,105227,7-5 1-6 (12-10)
269,F,100,2020,18,,104719,104547,106099,105943,6-4 5-7 (10-7)
268,SF,99,2020,18,,104719,104547,200335,106329,7-6(6) 6-4
267,SF,86,2020,18,,106099,105943,103997,104249,6-3 3-6 (10-4)
266,QF,83,2020,18,,200335,106329,126197,122425,6-3 7-6(7)
265,QF,104,2020,18,,104719,104547,104216,104802,6-4 6-7(3) (10-8)
264,QF,88,2020,18,,106099,105943,106207,103946,6-4 4-6 (10-4)
263,QF,74,2020,18,,103997,104249,105433,103938,6-4 6-2
262,R32,87,2020,18,,126197,122425,108701,104857,6-1 4-6 (10-8)
261,R32,94,2020,18,,200335,106329,105695,126115,7-6(6) 4-6 (10-3)
260,R32,68,2020,18,,104719,104547,106228,105077,6-3 6-2
259,R32,83,2020,18,,104216,104802,104665,106148,6-4 7-5
258,R32,61,2020,18,,106099,105943,105431,105271,6-4 6-3
257,R32,104,2020,18,,106207,103946,105120,132283,6-7(4) 6-3 (11-9)
256,R32,85,2020,18,,105433,103938,105269,104235,5-7 6-3 (10-8)
255,R32,79,2020,18,,103997,104249,105226,105262,6-3 7-5
242,QF,,2020,18,,106099,105943,105226,105262,6-3 6-4
241,R32,,2020,18,,106099,105943,106198,104919,6-2 6-2
240,R32,,2020,18,,105226,105262,110778,205734,1-6 7-6(4) (10-8)
269,F,151,2020,19,,103997,104249,108701,104857,7-6(6) 6-7(4) (11-9)
268,SF,76,2020,19,,108701,104857,105173,104802,6-4 6-2
267,SF,93,2020,19,,103997,104249,105677,105583,6-7(6) 6-0 (10-6)
266,QF,111,2020,19,,108701,104857,105695,126115,6-7(2) 6-4 (10-8)
265,QF,56,2020,19,,105173,104802,100644,104999,6-1 6-4
264,QF,79,2020,19,,105677,105583,104136,104159,4-6 6-4 (10-2)
263,QF,0,2020,19,,103997,104249,105777,126203,W/O
262,R32,70,2020,19,,108701,104857,106382,110758,6-0 7-5
261,R32,81,2020,19,,105695,126115,105334,104960,6-3 7-6(3)
260,R32,84,2020,19,,105173,104802,104719,104547,3-6 6-4 (10-6)
259,R32,59,2020,19,,100644,104999,103977,138550,6-3 6-3
258,R32,65,2020,19,,105677,105583,200000,105714,6-3 6-2
257,R32,88,2020,19,,104136,104159,126845,106291,4-6 7-6(0) (10-2)
256,R32,95,2020,19,,105777,126203,105428,104667,7-5 3-6 (12-10)
255,R32,79,2020,19,,103997,104249,103852,104043,7-5 6-4
242,QF,,2020,19,,103977,138550,105334,104960,6-3 6-4
241,R32,,2020,19,,105334,104960,105430,105572,6-4 2-6 (15-13)
240,R32,,2020,19,,103977,138550,200415,120798,3-6 6-4 (10-7)
269,F,59,2020,20,,105188,105030,104071,103594,6-3 6-2
268,SF,81,2020,20,,105188,105030,103781,104273,7-6(2) 6-2
267,SF,61,2020,20,,104071,103594,105573,105526,6-3 6-2
266,QF,59,2020,20,,105188,105030,104330,110749,6-4 6-2
265,QF,84,2020,20,,103781,104273,105906,105617,6-4 7-6(1)
264,QF,73,2020,20,,104071,103594,105323,105254,7-5 6-4
263,QF,55,2020,20,,105573,105526,105051,102233,6-3 6-3
262,R32,55,2020,20,,104330,110749,105227,104925,6-2 6-2
261,R32,61,2020,20,,105188,105030,105732,105332,6-4 6-4
260,R32,106,2020,20,,105906,105617,103828,104486,6-4 6-7(7) (10-8)
259,R32,76,2020,20,,103781,104273,104679,105439,6-1 7-6(2)
257,R32,82,2020,20,,104071,103594,111575,126094,7-6(4) 6-3
256,R32,95,2020,20,,105573,105526,106207,103946,7-6(2) 7-6(4)
255,R32,67,2020,20,,105051,102233,104471,104583,6-4 6-3
242,QF,,2020,20,,105573,105526,103523,105807,6-3 3-6 (10-6)
241,R32,,2020,20,,105573,105526,105341,200325,W/O
240,R32,,2020,20,,103523,105807,104586,104678,6-4 7-5
269,F,70,2020,21,,106148,200221,105656,110779,7-6(3) 6-1
268,SF,69,2020,21,,106148,200221,144642,126214,6-3 6-2
267,SF,97,2020,21,,105656,110779,105487,104655,7-6(5) 6-4
266,QF,69,2020,21,,144642,126214,105269,104235,1-6 6-3 (10-8)
265,QF,81,2020,21,,106148,200221,104690,104677,6-3 3-6 (10-4)
264,QF,62,2020,21,,105487,104655,105431,105271,6-3 6-4
263,QF,63,2020,21,,105656,110779,105948,106228,7-6(3) 6-3
262,R32,79,2020,21,,105269,104235,106198,122585,5-7 6-3 (10-8)
261,R32,76,2020,21,,144642,126214,105643,105160,4-6 6-3 (10-5)
260,R32,97,2020,21,,104690,104677,106329,105262,7-6(5) 7-6(2)
259,R32,67,2020,21,,106148,200221,106174,205734,6-4 7-5
258,R32,79,2020,21,,105487,104655,106033,104398,7-6(2) 6-4
257,R32,89,2020,21,,105431,105271,104919,105120,7-5 7-5
256,R32,65,2020,21,,105948,106228,122644,105801,6-4 1-6 (10-3)
255,R32,88,2020,21,,105656,110779,105433,103938,6-4 4-6 (10-6)
